Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Respiratory arrest,R09.2,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Respiratory arrest,R09.2,All Ages,10,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,13,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,33,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,12,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,17,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,85+,26,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,71,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,12,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,19,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,14,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,85+,17,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,62,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,55-64,14,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,65-74,16,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,75-84,16,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,85+,16,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrest,I46,All Ages,68,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,15,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,33,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,35-44,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,85+,20,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Heart failure,I50,All Ages,40,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,30,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,10,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,36,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,55-64,16,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,65-74,20,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,75-84,14,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,85+,13,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Sepsis,Sepsis,A40-A41,All Ages,68,
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,0,
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,34,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,0-24,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,25-34,0,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,35-44,0,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,45-54,11,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,55-64,10,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,65-74,21,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,75-84,12,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,85+,15,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Diabetes,Diabetes,E10-E14,All Ages,70,
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,0-24,0,
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,85+,0,
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,Not stated,0,
09/27/2020,02/01/2020,09/26/2020,KS,Obesity,Obesity,E65-E68,All Ages,20,
